Имя объекта;Тип объекта;Синоним;Файл
Справочник.АдресныеСокращения;Справочник;Адресные сокращения;Справочник_АдресныеСокращения.md
Справочник.Банки;Справочник;Банки;Справочник_Банки.md
Справочник.БанковскиеСчета;Справочник;Банковские счета;Справочник_БанковскиеСчета.md
Справочник.БланкиСтрогойОтчетности;Справочник;Бланки строгой отчетности;Справочник_БланкиСтрогойОтчетности.md
Справочник.Бюджеты;Справочник;Бюджеты;Справочник_Бюджеты.md
Справочник.Вакансии;Справочник;Вакансии;Справочник_Вакансии.md
Справочник.Валюты;Справочник;Валюты;Справочник_Валюты.md
Справочник.ВариантыCхемМотивации;Справочник;Временные схемы мотивации;Справочник_ВариантыCхемМотивации.md
Справочник.ВариантыНастроекФинАнализа;Справочник;Варианты настроек финанализа;Справочник_ВариантыНастроекФинАнализа.md
Справочник.ВариантыОтветовОпросов;Справочник;Варианты ответов опросов;Справочник_ВариантыОтветовОпросов.md
Справочник.ВерсииФайлов;Справочник;Версии файлов;Справочник_ВерсииФайлов.md
Справочник.ВидыАлкогольнойПродукции;Справочник;Виды алкогольной и спиртосодержащей продукции;Справочник_ВидыАлкогольнойПродукции.md
Справочник.ВидыАнализовНоменклатуры;Справочник;Виды анализов номенклатуры;Справочник_ВидыАнализовНоменклатуры.md
Справочник.ВидыВзаиморасчетов;Справочник;Виды взаиморасчетов;Справочник_ВидыВзаиморасчетов.md
Справочник.ВидыДеятельностиКонтрагентов;Справочник;Виды деятельности контрагентов;Справочник_ВидыДеятельностиКонтрагентов.md
Справочник.ВидыДисконтныхКарт;Справочник;Виды дисконтных карт;Справочник_ВидыДисконтныхКарт.md
Справочник.ВидыДокументов;Справочник;Виды подтверждающих документов;Справочник_ВидыДокументов.md
Справочник.ВидыЕжегодныхОтпусков;Справочник;Виды ежегодных отпусков;Справочник_ВидыЕжегодныхОтпусков.md
Справочник.ВидыЗадачПользователей;Справочник;Виды задач пользователей;Справочник_ВидыЗадачПользователей.md
Справочник.ВидыЗаметок;Справочник;Виды заметок;Справочник_ВидыЗаметок.md
Справочник.ВидыКонтактнойИнформации;Справочник;Виды контактной информации;Справочник_ВидыКонтактнойИнформации.md
Справочник.ВидыМехаГИСМ;Справочник;Виды меха ГИСМ;Справочник_ВидыМехаГИСМ.md
Справочник.ВидыНалоговыхОрганов;Справочник;Виды налоговых органов;Справочник_ВидыНалоговыхОрганов.md
Справочник.ВидыНоменклатуры;Справочник;Виды номенклатуры;Справочник_ВидыНоменклатуры.md
Справочник.ВидыОбразованияФизЛиц;Справочник;Виды образования физических лиц;Справочник_ВидыОбразованияФизЛиц.md
Справочник.ВидыОбслуживанияОсновныхСредств;Справочник;Виды обслуживания основных средств;Справочник_ВидыОбслуживанияОсновныхСредств.md
Справочник.ВидыОбщественноПолезнойДеятельности;Справочник;Виды общественно полезной деятельности;Справочник_ВидыОбщественноПолезнойДеятельности.md
Справочник.ВидыОплатЧекаККМ;Справочник;Виды оплат чека ККМ;Справочник_ВидыОплатЧекаККМ.md
Справочник.ВидыОтправляемыхДокументов;Справочник;Виды отправляемых документов;Справочник_ВидыОтправляемыхДокументов.md
Справочник.ВидыПараметровВыпускаПродукции;Справочник;Виды параметров выпуска продукции;Справочник_ВидыПараметровВыпускаПродукции.md
Справочник.ВидыРаспределенияПоПроектам;Справочник;Виды распределения по проектам;Справочник_ВидыРаспределенияПоПроектам.md
Справочник.ВидыСтажа;Справочник;Виды стажа;Справочник_ВидыСтажа.md
Справочник.ВидыСчетчиковДляЗначенийРазрядов;Справочник;Виды счетчиков для значений разрядов;Справочник_ВидыСчетчиковДляЗначенийРазрядов.md
Справочник.ВидыФинРезервов;Справочник;Виды фин. резервов;Справочник_ВидыФинРезервов.md
Справочник.ВидыЦФО;Справочник;Виды ЦФО;Справочник_ВидыЦФО.md
Справочник.ВложенияЭлектронныхПисем;Справочник;Вложения электронных писем;Справочник_ВложенияЭлектронныхПисем.md
Справочник.ВнешниеОбработки;Справочник;Внешние обработки;Справочник_ВнешниеОбработки.md
Справочник.Военкоматы;Справочник;Военкоматы;Справочник_Военкоматы.md
Справочник.ВычетыНДФЛ;Справочник;Вычеты по НДФЛ;Справочник_ВычетыНДФЛ.md
Справочник.ГодовыеГрафикиАмортизацииОС;Справочник;Годовые графики амортизации ОС;Справочник_ГодовыеГрафикиАмортизацииОС.md
Справочник.ГосударственныеКонтракты;Справочник;Государственные контракты;Справочник_ГосударственныеКонтракты.md
Справочник.ГрафикиРаботы;Справочник;Графики работы;Справочник_ГрафикиРаботы.md
Справочник.Грейды;Справочник;Грейды;Справочник_Грейды.md
Справочник.ГруппыДоступаКонтрагентов;Справочник;Группы доступа контрагентов;Справочник_ГруппыДоступаКонтрагентов.md
Справочник.ГруппыДоступаФизическихЛиц;Справочник;Группы доступа физических лиц;Справочник_ГруппыДоступаФизическихЛиц.md
Справочник.ГруппыДоступностиСкладов;Справочник;Группы доступности складов;Справочник_ГруппыДоступностиСкладов.md
Справочник.ГруппыЗаменяемостиРабочихЦентров;Справочник;Группы заменяемости рабочих центров;Справочник_ГруппыЗаменяемостиРабочихЦентров.md
Справочник.ГруппыЗаявокКандидатов;Справочник;Группы кандидатов;Справочник_ГруппыЗаявокКандидатов.md
Справочник.ГруппыПисемЭлектроннойПочты;Справочник;Группы писем электронной почты;Справочник_ГруппыПисемЭлектроннойПочты.md
Справочник.ГруппыПользователей;Справочник;Группы пользователей;Справочник_ГруппыПользователей.md
Справочник.ГруппыПочтовойРассылки;Справочник;Группы почтовой рассылки;Справочник_ГруппыПочтовойРассылки.md
Справочник.ГруппыСобытий;Справочник;Группы событий;Справочник_ГруппыСобытий.md
Справочник.ДенежныеДокументы;Справочник;Денежные документы;Справочник_ДенежныеДокументы.md
Справочник.ДетализацияАналитическогоБаланса;Справочник;Детализация аналитического баланса;Справочник_ДетализацияАналитическогоБаланса.md
Справочник.ДетализацияОтчетаОПрибыляхИУбытках;Справочник;Детализация отчета о прибылях и убытках;Справочник_ДетализацияОтчетаОПрибыляхИУбытках.md
Справочник.ДоверенностиНалогоплательщика;Справочник;Доверенности налогоплательщика;Справочник_ДоверенностиНалогоплательщика.md
Справочник.ДоговорыКонтрагентов;Справочник;Договоры контрагентов;Справочник_ДоговорыКонтрагентов.md
Справочник.ДоговорыХраненияПартийЗЕРНО;Справочник;Договоры хранения партий ЗЕРНО;Справочник_ДоговорыХраненияПартийЗЕРНО.md
Справочник.ДоговорыЭквайринга;Справочник;Договоры эквайринга;Справочник_ДоговорыЭквайринга.md
Справочник.ДокументыОбОбразовании;Справочник;Документы об образовании;Справочник_ДокументыОбОбразовании.md
Справочник.ДокументыРеализацииПолномочийНалоговыхОрганов;Справочник;Документы реализации полномочий налоговых органов;Справочник_ДокументыРеализацииПолномочийНалоговыхОрганов.md
Справочник.ДокументыУдостоверяющиеЛичность;Справочник;Документы, удостоверяющие личность;Справочник_ДокументыУдостоверяющиеЛичность.md
Справочник.Должности;Справочник;Должности;Справочник_Должности.md
Справочник.ДолжностиОрганизаций;Справочник;Должности организаций;Справочник_ДолжностиОрганизаций.md
Справочник.ДоходыБудущихПериодов;Справочник;Доходы будущих периодов;Справочник_ДоходыБудущихПериодов.md
Справочник.ДоходыЕСН;Справочник;Способы отражения доходов в учете ЕСН;Справочник_ДоходыЕСН.md
Справочник.ДоходыНДФЛ;Справочник;Коды доходов НДФЛ;Справочник_ДоходыНДФЛ.md
Справочник.ДоходыПоСтраховымВзносам;Справочник;Способы учета доходов при исчислении страховых взносов;Справочник_ДоходыПоСтраховымВзносам.md
Справочник.ДрайверыОборудования;Справочник;Драйверы оборудования;Справочник_ДрайверыОборудования.md
Справочник.ЕГАИСПрисоединенныеФайлы;Справочник;Протокол обмена ЕГАИС;Справочник_ЕГАИСПрисоединенныеФайлы.md
Справочник.ЕдиницыИзмерения;Справочник;Единицы измерения;Справочник_ЕдиницыИзмерения.md
Справочник.ЕдиныеНормыАмортизационныхОтчисленийОсновныхФондов;Справочник;Единые нормы амортизационных отчислений на полное восстановление основных фондов;Справочник_ЕдиныеНормыАмортизационныхОтчисленийОсновныхФондов.md
Справочник.ЗамещениеГосударственныхМуниципальныхДолжностейПФР;Справочник;Замещение государственных муниципальных должностей ПФР;Справочник_ЗамещениеГосударственныхМуниципальныхДолжностейПФР.md
Справочник.ЗанятияКурсовОбучения;Справочник;Занятия курсов обучения;Справочник_ЗанятияКурсовОбучения.md
Справочник.ЗаявкиКандидатов;Справочник;Кандидаты;Справочник_ЗаявкиКандидатов.md
Справочник.ЗаявленияОбОтзывеМЧДФНС;Справочник;Заявления об отзыве машиночитаемых доверенностей (ФНС);Справочник_ЗаявленияОбОтзывеМЧДФНС.md
Справочник.ЗваниеГражданскогоВоинскогоУчета;Справочник;Звание гражданского воинского учета;Справочник_ЗваниеГражданскогоВоинскогоУчета.md
Справочник.ЗемельныеУчасткиИС;Справочник;Земельные участки;Справочник_ЗемельныеУчасткиИС.md
Справочник.ЗЕРНОПрисоединенныеФайлы;Справочник;Протокол обмена ФГИС "Зерно";Справочник_ЗЕРНОПрисоединенныеФайлы.md
Справочник.ЗначенияПоказателейАнализовНоменклатуры;Справочник;Значения показателей анализов номенклатуры;Справочник_ЗначенияПоказателейАнализовНоменклатуры.md
Справочник.ЗначенияСвойствОбъектов;Справочник;Значения свойств объектов (Классификатор);Справочник_ЗначенияСвойствОбъектов.md
Справочник.ИдентификаторыОбъектовМетаданных;Справочник;Идентификаторы объектов метаданных;Справочник_ИдентификаторыОбъектовМетаданных.md
Справочник.ИндивидуальныеГрафикиАмортизации;Справочник;Индивидуальные графики амортизации;Справочник_ИндивидуальныеГрафикиАмортизации.md
Справочник.ИнформационныеКарты;Справочник;Информационные карты;Справочник_ИнформационныеКарты.md
Справочник.ИСМППрисоединенныеФайлы;Справочник;Протокол обмена ИС МП;Справочник_ИСМППрисоединенныеФайлы.md
Справочник.ИсточникиДанныхДляРасчетовБюджетирования;Справочник;Источники данных для расчетов бюджетирования;Справочник_ИсточникиДанныхДляРасчетовБюджетирования.md
Справочник.ИсточникиИнформации;Справочник;Источники информации о персонале;Справочник_ИсточникиИнформации.md
Справочник.ИсточникиИнформацииПриОбращенииПокупателей;Справочник;Источники информации при обращении покупателей;Справочник_ИсточникиИнформацииПриОбращенииПокупателей.md
Справочник.Кассы;Справочник;Кассы;Справочник_Кассы.md
Справочник.КассыККМ;Справочник;Кассы ККМ;Справочник_КассыККМ.md
Справочник.КатегорииОбъектов;Справочник;Категории объектов;Справочник_КатегорииОбъектов.md
Справочник.КатегорииРасчетов;Справочник;Категории расчетов;Справочник_КатегорииРасчетов.md
Справочник.Качество;Справочник;Качество;Справочник_Качество.md
Справочник.КлассификаторАлкогольнойПродукцииЕГАИС;Справочник;Классификатор алкогольной продукции ЕГАИС;Справочник_КлассификаторАлкогольнойПродукцииЕГАИС.md
Справочник.КлассификаторЕдиницИзмерения;Справочник;Классификатор единиц измерения;Справочник_КлассификаторЕдиницИзмерения.md
Справочник.КлассификаторЗанятий;Справочник;Классификатор занятий;Справочник_КлассификаторЗанятий.md
Справочник.КлассификаторИспользованияРабочегоВремени;Справочник;Классификатор использования рабочего времени;Справочник_КлассификаторИспользованияРабочегоВремени.md
Справочник.КлассификаторНСИЗЕРНО;Справочник;Классификатор НСИ ФГИС "Зерно";Справочник_КлассификаторНСИЗЕРНО.md
Справочник.КлассификаторОКОПФ;Справочник;Классификатор ОКОПФ;Справочник_КлассификаторОКОПФ.md
Справочник.КлассификаторОКПД2;Справочник;Классификатор ОКПД2;Справочник_КлассификаторОКПД2.md
Справочник.КлассификаторОрганизацийЕГАИС;Справочник;Классификатор организаций ЕГАИС;Справочник_КлассификаторОрганизацийЕГАИС.md
Справочник.КлассификаторСпециальностейПоОбразованию;Справочник;Классификатор специальностей по образованию (ОКСО);Справочник_КлассификаторСпециальностейПоОбразованию.md
Справочник.КлассификаторСтранМира;Справочник;Классификатор стран мира;Справочник_КлассификаторСтранМира.md
Справочник.КлассификаторТНВЭД;Справочник;Классификатор ТН ВЭД;Справочник_КлассификаторТНВЭД.md
Справочник.КлючевыеРесурсыПредприятия;Справочник;Ключевые ресурсы предприятия;Справочник_КлючевыеРесурсыПредприятия.md
Справочник.КлючиАдресовЗЕРНО;Справочник;Ключи адресов ФГИС "Зерно";Справочник_КлючиАдресовЗЕРНО.md
Справочник.КлючиАналитикиВидаУчета;Справочник;Ключи аналитики вида учета;Справочник_КлючиАналитикиВидаУчета.md
Справочник.КлючиАналитикиРаспределенияЗатрат;Справочник;Ключи аналитики распределения затрат;Справочник_КлючиАналитикиРаспределенияЗатрат.md
Справочник.КлючиАналитикиУчетаЗатрат;Справочник;Ключи аналитики учета затрат;Справочник_КлючиАналитикиУчетаЗатрат.md
Справочник.КлючиАналитикиУчетаПартий;Справочник;Ключи аналитики учета партий;Справочник_КлючиАналитикиУчетаПартий.md
Справочник.КлючиАналитикиУчетаПрочихЗатрат;Справочник;Ключи аналитики учета прочих затрат;Справочник_КлючиАналитикиУчетаПрочихЗатрат.md
Справочник.КлючиРеквизитовОрганизацийЗЕРНО;Справочник;Ключи реквизитов организаций ЗЕРНО;Справочник_КлючиРеквизитовОрганизацийЗЕРНО.md
Справочник.КлючиРеквизитовПервичныхДокументовЗЕРНО;Справочник;Ключи реквизитов первичных документов ЗЕРНО;Справочник_КлючиРеквизитовПервичныхДокументовЗЕРНО.md
Справочник.КодыОКПД;Справочник;Коды ОКПД;Справочник_КодыОКПД.md
Справочник.КодыОперацийПрослеживаемости;Справочник;Коды операций прослеживаемости;Справочник_КодыОперацийПрослеживаемости.md
Справочник.КодыОперацийРаздела7ДекларацииПоНДС;Справочник;Коды операций раздела 7 декларации по НДС;Справочник_КодыОперацийРаздела7ДекларацииПоНДС.md
Справочник.КомпетенцииРаботников;Справочник;Компетенции сотрудников;Справочник_КомпетенцииРаботников.md
Справочник.КонвертацииИзИнформационныхБаз1СПредприятия77;Справочник;Конвертации из информационных баз 1С:Предприятия;Справочник_КонвертацииИзИнформационныхБаз1СПредприятия77.md
Справочник.КонтактныеЛица;Справочник;Контактные лица;Справочник_КонтактныеЛица.md
Справочник.КонтактныеЛицаКонтрагентов;Справочник;Контактные лица контрагентов;Справочник_КонтактныеЛицаКонтрагентов.md
Справочник.Контрагенты;Справочник;Контрагенты;Справочник_Контрагенты.md
Справочник.КонтрактыИсполнителей;Справочник;Контракты с исполнителями (поставщиками);Справочник_КонтрактыИсполнителей.md
Справочник.КонтрактыСЗаказчиками;Справочник;Контракты с заказчиками (покупателями);Справочник_КонтрактыСЗаказчиками.md
Справочник.КоэффициентыСтажа;Справочник;Размеры начислений в зависимости от стажа;Справочник_КоэффициентыСтажа.md
Справочник.КурсыОбучения;Справочник;Курсы обучения;Справочник_КурсыОбучения.md
Справочник.ЛичныеКонтакты;Справочник;Личные контакты;Справочник_ЛичныеКонтакты.md
Справочник.МаршрутыСогласования;Справочник;Маршруты согласования заявок;Справочник_МаршрутыСогласования.md
Справочник.МашиночитаемыеДоверенностиКонтрагентов;Справочник;Машиночитаемые доверенности контрагентов;Справочник_МашиночитаемыеДоверенностиКонтрагентов.md
Справочник.МашиночитаемыеДоверенностиОрганизаций;Справочник;Машиночитаемые доверенности организаций;Справочник_МашиночитаемыеДоверенностиОрганизаций.md
Справочник.МашиночитаемыеДоверенностиФНС;Справочник;Машиночитаемые доверенности (ФНС);Справочник_МашиночитаемыеДоверенностиФНС.md
Справочник.МашиночитаемыеДоверенностиФСС;Справочник;Машиночитаемая доверенность (ФCС);Справочник_МашиночитаемыеДоверенностиФСС.md
Справочник.МедицинскиеОрганизации;Справочник;Медицинские организации;Справочник_МедицинскиеОрганизации.md
Справочник.МедицинскиеСтраховыеПолисы;Справочник;Медицинские страховые полисы;Справочник_МедицинскиеСтраховыеПолисы.md
Справочник.Мероприятия;Справочник;Мероприятия предприятия;Справочник_Мероприятия.md
Справочник.МестаХранения;Справочник;Места хранения;Справочник_МестаХранения.md
Справочник.Награды;Справочник;Награды;Справочник_Награды.md
Справочник.НазначениеЦелевыхСредств;Справочник;Назначение целевых средств;Справочник_НазначениеЦелевыхСредств.md
Справочник.НазначенияИспользования;Справочник;Назначения использования;Справочник_НазначенияИспользования.md
Справочник.НазначенияИспользованияСпецификаций;Справочник;Назначения использования спецификаций;Справочник_НазначенияИспользованияСпецификаций.md
Справочник.НазначенияСертификатовЭЦП;Справочник;Назначения сертификатов ЭП;Справочник_НазначенияСертификатовЭЦП.md
Справочник.НалоговыеОрганы;Справочник;Налоговые органы;Справочник_НалоговыеОрганы.md
Справочник.НаправленияИспользованияПрибыли;Справочник;Направления использования прибыли;Справочник_НаправленияИспользованияПрибыли.md
Справочник.НаправленияСписанияВыпущеннойПродукции;Справочник;Направления списания выпущенной продукции;Справочник_НаправленияСписанияВыпущеннойПродукции.md
Справочник.НастройкаИнтервалов;Справочник;Настройка интервалов;Справочник_НастройкаИнтервалов.md
Справочник.НастройкиАналитикиУчета;Справочник;Настройки аналитики учета;Справочник_НастройкиАналитикиУчета.md
Справочник.НастройкиВыполненияОбмена;Справочник;Настройки выполнения обмена;Справочник_НастройкиВыполненияОбмена.md
Справочник.НастройкиДопроведенияДокументов;Справочник;Настройки допроведения документов;Справочник_НастройкиДопроведенияДокументов.md
Справочник.НастройкиЗакрытияМесяца;Справочник;Настройки закрытия месяца;Справочник_НастройкиЗакрытияМесяца.md
Справочник.НастройкиЗаполненияФорм;Справочник;Настройки заполнения форм;Справочник_НастройкиЗаполненияФорм.md
Справочник.НастройкиОбменаДанными;Справочник;Настройки обмена данными;Справочник_НастройкиОбменаДанными.md
Справочник.НастройкиОбменаССайтом;Справочник;Настройки обмена с WEB - сайтом;Справочник_НастройкиОбменаССайтом.md
Справочник.НастройкиРасчетаСебестоимости;Справочник;Настройки расчета себестоимости;Справочник_НастройкиРасчетаСебестоимости.md
Справочник.НастройкиРасчетаЦеныНоменклатуры;Справочник;Настройки расчета цены номенклатуры;Справочник_НастройкиРасчетаЦеныНоменклатуры.md
Справочник.НастройкиРегламентногоФормированияДокументовПоНДС;Справочник;Настройки регламентного формирования документов по НДС;Справочник_НастройкиРегламентногоФормированияДокументовПоНДС.md
